public_total_salary_wage,privateprofit_total_salary_wage,private_nonprofit_total_salary_wage
7382880,867542,3540835
6525457,4212797,1015447
11688273,499000,1473101
4720142,1171143,9989450
14944074,4211782,26010820
118766218,523940,19956993
40267743,6177726,330557
1208623830,196631,2285530
252614796,985704,11104288
169848149,1724767,4279531
85283317,2570936,6595403
30748935,596884,11808680
25216048,2881084,22662896
670575487,6062069,6762501
124548458,879252,9148557
3595454,341237,1021501
49430127,1249790,21842627
12389480,748758,36222303
29895870,115199,73566000
11901984,777958,4777283
12109922,236751,8567357
5637991,1338817,16422862
11966302,329140,2289563
9535669,2183209,18447752
25544269,177031,18399163
7353506,2557178,32797197
17073844,2161583,37991919
9362828,602975,7116125
10938098,1671864,4271688
12053997,470742,100006675
12117066,2447411,37072192
17244270,979289,1342164
5143764,1018132,37035347
16203634,992378,56203104
84474380,701655,29587837
16081395,714411,7498018
11204728,446556,3669276
15402832,1689875,7637000
8775164,2068454,12683682
58115457,2582289,6140310
89953640,442795,2836521
20687020,2411593,7811949
12156552,371090,56347787
3916197,3220591,49213000
8398636,66565,38490547
5394454,3071575,9573259
10435291,3651889,9218116
26647722,277465,4463245
217974981,2370675,43780000
20960622,853686,11757448
4283727,770441,2521262
189544093,91871,5469932
7565159,5834449,1505711
1440010,1351707,20398972
11401915,120987,31100298
190107607,293625,25950168
416682,2797225,21097050
1829855,498369,16258926
731358,244658,6220213
1036341,2980803,37603000
1573224,2811830,1883466
6049994,3489131,2108732
158961123,2372900,48790000
1117671,5511983,98488000
2268379,1820020,19658426
1518726,264088,18943291
12598777,677223,577300909
16688661,1011199,14943780
386380,748931,20502298
441451694,532404,16438498
40424704,164693,1784236
14662056,123500,6904057
20191319,3066172,22739906
16087252,1819420,53408387
129577118,1624803,493353624
696990,2567933,122077000
89284698,1201510,27029988
137483820,1022954,24737362
7196917,4000926,1159988
1758976,27554736,540722
3468370,276667,2236046
266572,183971,51129737
1477622,1546257,38513000
17722251,3877842,13955663
8025104,620781,51309241
6447033,497075,1723436
3442411,344942,27731217
15917845,728662,19184000
7633625,1327744,11952114
6769871,714843,38184842
5719084,365150,8712964
248647353,536682,18799152
6307620,625189,16601733
32276471,1357917,482151
2526304,571196,4217923
13447296,487902,22699523
42061487,378455,10174928
7894512,363909,23895356
569172,453163,11841670
13551585,146000,67544787
9818231,319916,9747833
212669466,2263542,59188000
1995928,623926,12558317
9690018,468648,1778403
9863021,502030,22074238
10049107,1682644,164140000
1000854,769514,19644181
31590816,16163797,838635
5754712,1974690,2516790
6817293,2259833,2820883
7801157,1524905,17158706
7255758,3028138,5908364
12417965,1455716,29306595
2440478722,7813782,29279683
3228928,2623700,39162867
7635103,563266,402104
6951245,177978,25259396
7147900,1024277,6074924
313040211,190340,25989865
6926420,436801,11916480
36287290,691372,39698134
605914,150977,21600980
24541496,168153000,1060900
74509890,2394657,2619895
36282856,112649,23765537
9817283,1260861,4932797
8203605,500073,2296090000
393350202,289889,9785956
381833,351440,7245446
1125333,911270,2289377
1227491,2169098,3605437000
5513059,306965,36105449
192190897,8035515,27633473
4846342,247922,8564975
88533809,1364207,53217750
2461994,4721704,41125582
